,Unnamed: 0,producto,subtipo,tipo_comercial,mercado,month,semana,precio_max,precio_min,year,date_semana
184,186,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,50,0.54,0.25,2017,2017-50
478,482,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,48,0.27,0.16,2017,2017-48
636,641,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,47,0.18,0.18,2017,2017-47
785,791,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,46,0.24,0.18,2017,2017-46
929,936,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,45,0.25,0.18,2017,2017-45
1082,1090,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,44,0.27,0.18,2017,2017-44
1226,1235,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,43,0.27,0.18,2017,2017-43
1362,1372,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,42,0.29,0.18,2017,2017-42
1636,1648,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,40,0.29,0.21,2017,2017-40
1766,1779,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,39,0.3,0.2,2017,2017-39
1905,1919,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,38,0.32,0.2,2017,2017-38
2035,2050,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,37,0.32,0.21,2017,2017-37
2174,2190,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,36,0.32,0.21,2017,2017-36
2299,2316,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,35,0.32,0.21,2017,2017-35
2434,2452,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,34,0.32,0.21,2017,2017-34
2563,2582,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,33,0.32,0.21,2017,2017-33
3482,55,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,49,0.3,0.41,2018,2018-49
3622,57,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,48,0.3,0.41,2018,2018-48
3768,56,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,47,0.3,0.41,2018,2018-47
3905,56,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,46,0.3,0.41,2018,2018-46
4047,65,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,45,0.3,0.41,2018,2018-45
4196,82,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,44,0.3,0.41,2018,2018-44
4343,82,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,43,0.3,0.41,2018,2018-43
4484,80,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,42,0.32,0.41,2018,2018-42
4625,79,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,41,0.32,0.41,2018,2018-41
4765,76,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,40,0.32,0.41,2018,2018-40
4909,80,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,39,0.32,0.38,2018,2018-39
5044,81,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,38,0.32,0.41,2018,2018-38
5182,70,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,37,0.32,0.41,2018,2018-37
5325,68,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,36,0.32,0.41,2018,2018-36
5467,66,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,35,0.32,0.41,2018,2018-35
5602,62,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,34,0.31,0.41,2018,2018-34
5715,41,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,33,0.32,0.41,2018,2018-33
5826,33,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,32,0.32,0.36,2018,2018-32
5939,34,02 Frutales,Caqui,Caqui R. Brillante,Valencia,7,31,0.31,0.32,2018,2018-31
6050,34,02 Frutales,Caqui,Caqui R. Brillante,Valencia,7,30,0.31,0.32,2018,2018-30
6165,34,02 Frutales,Caqui,Caqui R. Brillante,Valencia,7,29,0.31,0.32,2018,2018-29
6283,34,02 Frutales,Caqui,Caqui R. Brillante,Valencia,7,28,0.23,0.36,2018,2018-28
355,101,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,50,0.09,0.23,2019,2019-50
517,97,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,49,0.09,0.23,2019,2019-49
671,95,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,48,0.1,0.25,2019,2019-48
832,98,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,47,0.15,0.25,2019,2019-47
983,91,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,45,0.16,0.25,2019,2019-45
1128,93,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,44,0.14,0.24,2019,2019-44
1269,93,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,43,0.16,0.27,2019,2019-43
1411,90,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,42,0.18,0.29,2019,2019-42
1551,86,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,41,0.18,0.29,2019,2019-41
1695,88,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,40,0.18,0.29,2019,2019-40
1839,88,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,40,0.18,0.29,2019,2019-40
1979,86,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,39,0.18,0.29,2019,2019-39
2111,82,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,37,0.23,0.32,2019,2019-37
2252,85,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,36,0.23,0.3,2019,2019-36
2389,80,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,35,0.24,0.36,2019,2019-35
2524,74,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,34,0.24,0.32,2019,2019-34
305,81,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,50,0.31,0.41,2020,2020-50
451,70,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,49,0.25,0.38,2020,2020-49
598,70,02 Fruiters,Caqui,Caqui roig brillant,València,11,48,0.23,0.38,2020,2020-48
741,70,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,47,0.23,0.36,2020,2020-47
887,81,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,46,0.23,0.32,2020,2020-46
1026,77,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,45,0.23,0.32,2020,2020-45
1161,84,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,44,0.2,0.32,2020,2020-44
1296,86,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,43,0.23,0.34,2020,2020-43
1434,92,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,42,0.23,0.36,2020,2020-42
1574,94,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,41,0.23,0.36,2020,2020-41
1712,95,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,40,0.23,0.36,2020,2020-40
1851,95,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,39,0.23,0.36,2020,2020-39
1987,88,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,38,0.2,0.32,2020,2020-38
2119,80,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,37,0.23,0.32,2020,2020-37
2256,86,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,36,0.23,0.3,2020,2020-36
2509,89,02 Frutales,Caqui,Caqui R. Brillante,Valencia,8,34,0.23,0.3,2020,2020-34
178,76,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,51,0.18,0.32,2021,2021-51
324,70,02 Frutales,Caqui,Caqui R. Brillante,Valencia,12,50,0.18,0.32,2021,2021-50
468,67,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,49,0.18,0.36,2021,2021-49
612,69,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,48,0.18,0.41,2021,2021-48
751,69,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,47,0.18,0.41,2021,2021-47
890,73,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,46,0.2,0.45,2021,2021-46
1025,72,02 Frutales,Caqui,Caqui R. Brillante,Valencia,11,45,0.2,0.45,2021,2021-45
1160,74,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,44,0.23,0.4,2021,2021-44
1305,88,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,43,0.23,0.4,2021,2021-43
1448,88,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,42,0.25,0.36,2021,2021-42
1590,85,02 Frutales,Caqui,Caqui R. Brillante,Valencia,10,41,0.25,0.38,2021,2021-41
1719,80,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,40,0.23,0.33,2021,2021-40
1855,84,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,39,0.23,0.33,2021,2021-39
1994,84,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,38,0.23,0.33,2021,2021-38
2130,82,02 Frutales,Caqui,Caqui R. Brillante,Valencia,9,37,0.23,0.33,2021,2021-37
1499,1510,02 Frutales,Caqui (en árbol),Caqui R. Brillante,Valencia,10,41,0.29,0.18,2017,2017-41
